"BOROUGH","NEIGHBORHOOD","BUILDING CLASS CATEGORY","TAX CLASS AS OF FINAL ROLL","BLOCK","LOT","EASE-MENT","BUILDING CLASS AS OF FINAL ROLL","ADDRESS","APARTMENT NUMBER","ZIP CODE","RESIDENTIAL UNITS","COMMERCIAL UNITS","TOTAL UNITS","LAND SQUARE FEET","GROSS SQUARE FEET","YEAR BUILT","TAX CLASS AT TIME OF SALE","BUILDING CLASS AT TIME OF SALE","SALE PRICE","SALE DATE","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract 2020","Neighborhood Tabulation Area (NTA) (2020)"
"3","PARK SLOPE SOUTH","14  RENTALS - 4-10 UNIT","2A","1113","58",,"S9","256 PROSPECT PARK WEST",,"11215","4","2","6","1,876","3,920","1920","2","S9","$0","01/01/2016","40.658961","-73.9816","307","39","3027212","3011130058","169","BK0701"
"3","PARK SLOPE SOUTH","22  STORE BUILDINGS","4","1022","48",,"K4","486 5 AVENUE","2","11215","3","1","4","1,400","5,500","1920","4","K4","$0","01/01/2016","40.66775","-73.987502","306","39","3022891","3010220048","139","BK0602"
"3","SEAGATE","01  ONE FAMILY DWELLINGS","1","7024","42",,"A1","5127 SURF AVENUE",,"11224","1","0","1","7,120","2,315","1970","1","A1","$386,000","01/01/2016","40.579607","-74.009576","313","47","3189150","3070240042","336","BK1302"
"3","SHEEPSHEAD BAY","03  THREE FAMILY DWELLINGS","1","7345","22",,"C0","2140 EAST 13TH STREET",,"11229","3","0","3","2,000","3,025","1970","1","C0","$0","01/01/2016","40.597705","-73.958092","315","48","3199448","3073450022","582","BK1501"
"3","SUNSET PARK","02  TWO FAMILY DWELLINGS","1","873","2",,"S2","635 5 AVENUE",,"11215","2","1","3","1,210","3,000","1931","1","S2","$0","01/01/2016","40.663156","-73.991526","307","38","3016733","3008730002","143","BK0702"
"3","WILLIAMSBURG-EAST","07  RENTALS - WALKUP APARTMENTS","2A","2916","48",,"C2","261 DEVOE STREET",,"11211","6","0","6","2,500","3,750","1920","2","C2","$0","01/01/2016","40.713905","-73.939359","301","34","3070348","3029160048","481","BK0104"
"4","FLUSHING-NORTH","01  ONE FAMILY DWELLINGS","1","5530","80",,"A1","189-35 45TH ROAD",,"11358","1","0","1","4,000","1,655","1920","1","A1","$0","01/01/2016","40.754897","-73.791213","411","19","4124829","4055300080","1459","QN1101"
"4","QUEENS VILLAGE","02  TWO FAMILY DWELLINGS","1","10786","1",,"B3","97-49 220TH STREET",,"11429","2","0","2","5,000","2,371","1925","1","B3","$0","01/01/2016","40.717188","-73.733299","413","27","4231144","4107860001","568","QN1303"
"4","RIDGEWOOD","07  RENTALS - WALKUP APARTMENTS","2A","3485","49",,"C2","2049 GATES AVENUE",,"11385","6","0","6","2,742","5,600","1930","2","C2","$0","01/01/2016","40.706951","-73.904661","405","30","4083414","4034850049","589","QN0502"
"4","RIDGEWOOD","07  RENTALS - WALKUP APARTMENTS","2A","3554","72",,"C2","1655 SUMMERFIELD STREET",,"11385","6","0","6","2,168","4,545","1931","2","C2","$0","01/01/2016","40.695796","-73.901442","405","34","4085761","4035540072","559","QN0502"
"5","ARDEN HEIGHTS","04  TAX CLASS 1 CONDOS","1A","6017","4085",,"R3","29 STACK DRIVE",,"10312","1","0","1","0","0","1981","1","R3","$0","01/01/2016","40.547712","-74.198331","503","51","5121699","5060177505","17014","SI0303"
"1","MIDTOWN WEST","26  OTHER HOTELS","4","1009","37",,"H3","102 WEST 57TH   STREET",,"10019","0","2","2","7,532","112,850","2007","4","H3","$16,239","01/02/2016","40.764455","-73.977532","105","4","1089420","1010090037","137","MN0502"
"1","MIDTOWN WEST","45  CONDO HOTELS","4","1006","1302",,"RH","1335 AVENUE OF THE AMERIC","TIMES","10019","0","0","1","0","0","1963","4","RH","$0","01/02/2016",,,,,,,,
"2","PARKCHESTER","02  TWO FAMILY DWELLINGS","1","4016","42",,"B2","1718 ADAMS STREET",,"10460","2","0","2","2,375","2,640","1920","1","B2","$0","01/02/2016","40.84093","-73.87098","211","15","2042546","2040160042","240","BX1101"
"3","BAY RIDGE","07  RENTALS - WALKUP APARTMENTS","2","6045","44",,"C7","8624 5 AVENUE",,"11209","10","2","12","3,008","8,850","1925","2","C7","$0","01/02/2016","40.62129","-74.026401","310","43","3153556","3060450044","160","BK1001"
"3","GRAVESEND","02  TWO FAMILY DWELLINGS","1","6649","81",,"S2","262 KINGS HIGHWAY",,"11223","2","1","3","2,092","3,306","1931","1","S2","$0","01/02/2016","40.605259","-73.980981","311","47","3176803","3066490081","426","BK1103"
"3","WILLIAMSBURG-CENTRAL","13  CONDOS - ELEVATOR APARTMENTS","2","2263","1741",,"R4","505 FLUSHING AVENUE","7C","11205","1","0","1","0","0","2010","2","R4","$499,999","01/02/2016","40.699238","-73.954866","301","33","3396777","3022637508","53102","BK0103"
"4","ASTORIA","07  RENTALS - WALKUP APARTMENTS","2","653","97",,"C1","37-11 28TH   AVENUE",,"11103","20","0","20","5,000","13,772","1913","2","C1","$0","01/02/2016","40.766155","-73.915114","401","22","4010223","4006530097","6502","QN0103"
"4","FLUSHING-NORTH","01  ONE FAMILY DWELLINGS","1","6441","17",,"A0","153-34 60 AVENUE",,"11355","1","0","1","4,000","1,767","1945","1","A0","$150,000","01/02/2016","40.740239","-73.816104","407","20","4141519","4064410017","837","QN0706"
